batch size,op/s,procedure
100,144507.20869999999,Gen
200,270637.4595,Gen
300,373048.4901,Gen
400,451017.77799999999,Gen
500,505169.90879999998,Gen
600,569372.86430000002,Gen
700,628463.28159999999,Gen
800,678456.5453,Gen
900,664283.61069999996,Gen
1000,709602.33880000003,Gen
1100,744426.78119999997,Gen
1200,777817.17279999994,Gen
1300,743844.96900000004,Gen
1400,772375.86679999996,Gen
1500,792990.38789999997,Gen
1600,818670.6017,Gen
1700,855015.95109999995,Gen
1800,803067.00210000004,Gen
1900,835004.07389999996,Gen
2000,848498.47589999996,Gen
2100,875680.4767,Gen
2200,759366.96409999998,Gen
2300,782304.6764,Gen
2400,795264.99219999998,Gen
2500,812386.48930000002,Gen
2600,805977.62609999999,Gen
2700,824368.83120000002,Gen
2800,837983.64379999996,Gen
2900,842638.43460000004,Gen
3000,863257.68130000005,Gen
3100,836105.06660000002,Gen
3200,856985.23309999995,Gen
3300,871722.35699999996,Gen
3400,884338.18859999999,Gen
3500,857346.38069999998,Gen
3600,860100.16819999996,Gen
3700,861584.17390000005,Gen
3800,891168.61289999995,Gen
3900,860477.34869999997,Gen
4000,865901.13789999997,Gen
4100,880463.92290000001,Gen
4200,889875.75639999995,Gen
4300,898948.37670000002,Gen
4400,841626.22080000001,Gen
4500,857287.86129999999,Gen
4600,876836.99730000005,Gen
4700,885451.7452,Gen
4800,871091.20510000002,Gen
4900,879942.92220000003,Gen
5000,887812.62320000003,Gen
5100,896883.38300000003,Gen
5200,877786.61380000005,Gen
5300,885393.0527,Gen
5400,893803.85380000004,Gen
5500,899698.50289999996,Gen
5600,908331.80319999997,Gen
5700,888881.54220000003,Gen
5800,893104.06629999995,Gen
5900,896299.10499999998,Gen
6000,898051.13919999998,Gen
6100,886748.67489999998,Gen
6200,891054.88679999998,Gen
6300,891129.06480000005,Gen
6400,908415.14630000002,Gen
6500,879939.55759999994,Gen
6600,889853.04619999998,Gen
6700,889810.39599999995,Gen
6800,901776.99129999999,Gen
6900,905624.71699999995,Gen
7000,896311.14190000005,Gen
7100,898059.95019999996,Gen
7200,899590.23659999995,Gen
7300,908025.59039999999,Gen
7400,892428.04949999996,Gen
7500,898665.51769999997,Gen
7600,907179.10510000004,Gen
7700,910635.76450000005,Gen
7800,899833.01179999998,Gen
7900,893685.1753,Gen
8000,906112.98930000002,Gen
8100,908657.58849999995,Gen
8200,916355.92520000006,Gen
8300,903144.9902,Gen
8400,907537.0956,Gen
8500,908881.04020000005,Gen
8600,911257.89190000005,Gen
8700,900173.64040000003,Gen
8800,899695.04429999995,Gen
8900,903935.522,Gen
9000,916148.86439999996,Gen
9100,901656.34270000004,Gen
9200,905735.83799999999,Gen
9300,910833.69099999999,Gen
9400,914970.16760000004,Gen
9500,917691.21259999997,Gen
9600,907208.79449999996,Gen
9700,914448.61809999996,Gen
9800,918531.3321,Gen
9900,918459.53370000003,Gen
10000,907720.5811,Gen
100,94622.776840000006,Sign
200,120948.5999,Sign
300,171946.67129999999,Sign
400,217117.66529999999,Sign
500,253881.209,Sign
600,223293.70120000001,Sign
700,257794.69889999999,Sign
800,288264.39610000001,Sign
900,307261.09169999999,Sign
1000,246244.70670000001,Sign
1100,293172.90909999999,Sign
1200,317820.93489999999,Sign
1300,327212.11749999999,Sign
1400,345128.5111,Sign
1500,360024.5969,Sign
1600,309463.86930000002,Sign
1700,342628.99229999998,Sign
1800,352306.74800000002,Sign
1900,367311.51750000002,Sign
2000,380535.7487,Sign
2100,338565.40490000002,Sign
2200,351474.58769999997,Sign
2300,365351.69709999999,Sign
2400,378270.20500000002,Sign
2500,389836.85950000002,Sign
2600,312415.0246,Sign
2700,363863.74790000002,Sign
2800,376559.1398,Sign
2900,388713.63270000002,Sign
3000,402765.27899999998,Sign
3100,408779.15210000001,Sign
3200,291118.40500000003,Sign
3300,388549.10470000003,Sign
3400,403660.87170000002,Sign
3500,404153.7304,Sign
3600,406008.88640000002,Sign
3700,420023.16259999998,Sign
3800,367835.81670000002,Sign
3900,400464.62109999999,Sign
4000,411534.99670000002,Sign
4100,421724.05530000001,Sign
4200,419103.95569999999,Sign
4300,345967.58689999999,Sign
4400,397556.25780000002,Sign
4500,416963.09649999999,Sign
4600,425136.66759999999,Sign
4700,431740.25770000002,Sign
4800,431321.41070000001,Sign
4900,354726.0404,Sign
5000,415206.07549999998,Sign
5100,429795.0442,Sign
5200,431963.03860000003,Sign
5300,438396.8835,Sign
5400,444384.20569999999,Sign
5500,450533.95240000001,Sign
5600,424167.35950000002,Sign
5700,426130.97970000003,Sign
5800,439665.76610000001,Sign
5900,447549.98619999998,Sign
6000,452061.99040000001,Sign
6100,397587.25799999997,Sign
6200,424352.8431,Sign
6300,439508.73810000002,Sign
6400,449194.33140000002,Sign
6500,452886.71740000002,Sign
6600,363949.01890000002,Sign
6700,429261.62449999998,Sign
6800,439800.69530000002,Sign
6900,449369.85649999999,Sign
7000,453340.12910000002,Sign
7100,456104.12180000002,Sign
7200,404212.06939999998,Sign
7300,439467.55800000002,Sign
7400,447961.9547,Sign
7500,455815.71629999997,Sign
7600,459678.48509999999,Sign
7700,462808.0258,Sign
7800,433041.1508,Sign
7900,446815.4951,Sign
8000,454118.55729999999,Sign
8100,459830.27720000001,Sign
8200,465008.40130000003,Sign
8300,468069.00890000002,Sign
8400,438031.84370000003,Sign
8500,450686.58919999999,Sign
8600,459057.29379999998,Sign
8700,461181.21120000002,Sign
8800,463913.24320000003,Sign
8900,470199.19750000001,Sign
9000,437130.27279999998,Sign
9100,455996.92330000002,Sign
9200,462128.3088,Sign
9300,465461.55170000001,Sign
9400,469119.97779999999,Sign
9500,475557.9008,Sign
9600,438659.52049999998,Sign
9700,458457.59740000003,Sign
9800,464421.78450000001,Sign
9900,468954.83470000001,Sign
10000,468848.2457,Sign
100,149974.2794,Verify
200,269994.0736,Verify
300,370618.8222,Verify
400,449626.64130000002,Verify
500,502661.08779999998,Verify
600,569275.62520000001,Verify
700,621292.76820000005,Verify
800,671520.07799999998,Verify
900,664995.31180000002,Verify
1000,701702.18920000002,Verify
1100,739078.43640000001,Verify
1200,767882.54469999997,Verify
1300,739584.79709999997,Verify
1400,769930.47530000005,Verify
1500,795267.83829999994,Verify
1600,823682.94380000001,Verify
1700,826887.26069999998,Verify
1800,809115.31330000004,Verify
1900,819946.27190000005,Verify
2000,848213.11179999996,Verify
2100,867089.25569999998,Verify
2200,832286.98470000003,Verify
2300,849091.67500000005,Verify
2400,863977.53659999999,Verify
2500,880652.86670000001,Verify
2600,801314.64910000004,Verify
2700,814415.51659999997,Verify
2800,829584.40190000006,Verify
2900,842970.08010000002,Verify
3000,855141.82530000003,Verify
3100,846293.45310000004,Verify
3200,858158.70250000001,Verify
3300,867631.73609999998,Verify
3400,879340.06050000002,Verify
3500,861761.61800000002,Verify
3600,871052.31830000004,Verify
3700,883515.83909999998,Verify
3800,894682.24419999996,Verify
3900,874503.38300000003,Verify
4000,878141.22089999996,Verify
4100,888333.83669999999,Verify
4200,901418.70429999998,Verify
4300,909610.71409999998,Verify
4400,887003.42420000001,Verify
4500,894663.86679999996,Verify
4600,903093.72420000006,Verify
4700,909132.23329999996,Verify
4800,890427.01910000003,Verify
4900,897943.74549999996,Verify
5000,905466.57330000005,Verify
5100,911684.25260000001,Verify
5200,883886.54429999995,Verify
5300,891002.33900000004,Verify
5400,897493.7487,Verify
5500,904159.72660000005,Verify
5600,912008.1507,Verify
5700,900582.62959999999,Verify
5800,907016.99620000005,Verify
5900,911942.09820000001,Verify
6000,918017.79760000005,Verify
6100,904073.6372,Verify
6200,901940.05850000004,Verify
6300,915993.64159999997,Verify
6400,912376.89150000003,Verify
6500,905691.33649999998,Verify
6600,909890.25899999996,Verify
6700,915580.8493,Verify
6800,907912.4436,Verify
6900,922958.75970000005,Verify
7000,913533.41020000004,Verify
7100,918152.16570000001,Verify
7200,922565.13600000006,Verify
7300,925640.39099999995,Verify
7400,912955.71759999997,Verify
7500,916872.88159999996,Verify
7600,922334.57440000004,Verify
7700,927135.12600000005,Verify
7800,911612.50580000004,Verify
7900,918002.61219999997,Verify
8000,923081.78700000001,Verify
8100,927385.48739999998,Verify
8200,931103.03119999997,Verify
8300,920926.88740000001,Verify
8400,920121.10979999998,Verify
8500,929232.08920000005,Verify
8600,930294.4436,Verify
8700,921924.34649999999,Verify
8800,924065.64099999995,Verify
8900,928076.66540000006,Verify
9000,930659.55530000001,Verify
9100,920935.55720000004,Verify
9200,923474.94389999995,Verify
9300,927535.72309999994,Verify
9400,933821.74199999997,Verify
9500,937786.64190000005,Verify
9600,926923.83519999997,Verify
9700,924722.7095,Verify
9800,934060.74430000002,Verify
9900,936655.41359999997,Verify
10000,927504.9172,Verify
